"service_id","service_name","category_name","duration","gap_time","price","price (Billy)","price (Stylist)"
"18176301597927","Blowdry","Cut + Styling","30","0","20.00","20.00","20.00"
"18210661336295","Curly Blowdry","Cut + Styling","45","0","28.00",,
"18193481467111","Long Blowdry","Cut + Styling","30","0","24.00",,
"19069654795495","Neutralise","Cut + Styling","30","30","0.00",,
"19774029432039","Olaplex Treatment","Cut + Styling","30","0","25.00",,
"19791209301223","Pro Fiber Treatment","Cut + Styling","30","0","20.00",,
"18159121728743","Wash Cut & Blowdry","Cut + Styling","30","0","40.00","42.00","40.00"
"19344532702439","Wash Cut & Curly Blowdry","Cut + Styling","45","0","48.95",,
"19000935318759","Steampod Short","Cut + Styling","45","0","24.50",,
"19035295057127","Steampod Long","Cut + Styling","45","0","29.00",,
"18262200943847","GHD Curls","Cut + Styling","45","0","35.00",,
"18571438589159","Upstyle 35","Cut + Styling","45","0","35.00",,
"18245021074663","Upstyle 45","Cut + Styling","45","0","45.00",,
"18554258719975","Upstyle 50","Cut + Styling","45","0","50.00",,
"18227841205479","Bodywave/Perm","Cut + Styling","45","30","64.50",,
"19636590478567","Botox Hair Treatment","Cut + Styling","30","0","30.00",,
"18777597019367","Brazilian Blowdry","Cut + Styling","150","0","150.00",,
"18279380813031","Conditioning Treatment","Cut + Styling","15","0","10.00",,
"18880676234471","Fringe Trim","Cut + Styling","5","0","5.00",,
"18313740551399","Colour","Colour","30","30","38.00",,
"19413252179175","Colour Consultation","Colour","15","0","0.00",,
"18330920420583","INOA Colour","Colour","30","30","42.00",,
"19052474926311","Gloss / Refresh","Colour","15","0","10.00",,
"18846316496103","Floodlights 15","Colour","15","0","15.00",,
"18863496365287","Floodlights 20","Colour","15","0","20.00",,
"19928648254695","L'Oreal Smartbond Treatment","Colour","15","0","20.00",,
"18365280158951","Masking","Colour","30","30","20.00",,
"19086834664679","Colour Pop","Colour","30","0","20.00",,
"18399639897319","Meche Highlights Full Head","Colour","60","30","75.00",,
"18416819766503","Meche Highlights Half Head","Colour","45","30","55.00",,
"18433999635687","Meche Highlights T-Bar","Colour","30","30","45.00",,
"19155554141415","Highlift Colour","Colour","30","50","40.00",,
"18348100289767","Highlights (cap)","Colour","30","30","55.00",,
"18932215842023","Cleansing","Colour","30","0","20.00",,
"19138374272231","Marbelling","Colour","40","0","55.00",,
"19121194403047","Balayage Short","Colour","45","30","60.00",,
"19104014533863","Balayage Long","Colour","60","30","70.00",,
"18519898981607","All Head Shaves 1,2,3 or 4","Gent's Hairstyling","30","0","16.00",,
"18485539243239","Gent Wash & Cut","Gent's Hairstyling","30","0","16.00",,
"18451179504871","Student Wash Cut & Blowdry","Student/Children","30","0","30.00",,
"17197049054439","Brow Wax","Waxing","10","0","9.00",,
"17231408792807","Chin Wax","Waxing","10","0","9.00",,
"17214228923623","Lip Wax","Waxing","10","0","9.00",,
"17248588661991","Lip & Chin Wax","Waxing","15","0","16.00",,
"18691697673447","Lip & Eyebrow Wax","Waxing","15","0","17.00",,
"18897856103655","Lip, Chin & Eyebrow Wax","Waxing","15","0","24.00",,
"17265768531175","Lip, Chin & Sides  of Face","Waxing","15","0","24.00",,
"17300128269543","Underarm Wax","Waxing","15","0","13.50",,
"17282948400359","Arm Wax","Waxing","30","0","21.00",,
"17317308138727","Abdomen Wax","Waxing","15","0","11.50",,
